Questions;Reponses
Comment accéder à mes contacts eca ?;Pour accéder à la liste des contacts ECA SSURANCES ainsi qu'aux coordonnées, rendez-vous sur votre page d'acceuil de votre Espace personnel. 
Comment consulter mes documents habitation ?;"Pour consulter vos documents, rendez-vous dans la rubrique ""mes contrats"" de votre espace personnel puis cliquez sur la rubrique « mes documents"""
Ou trouver mon numéro de contrat ?;Vous pouvez retrouver votre référence contrat en vous connectant à votre espace personnel puis cliquez sur la rubrique « mes contrats »
Suis-je couvert en cas de bris de glace de mon mobilier ?;"Vous devez tout d'abord déclarer votre sinistre en passant par votre espace personnel, rubrique mes contrats puis cliquez sur ""déclarer un sinistre""dans un délai de 5 jours ouvrés maximum. A réception, notre équipe sinistres étudiera votre demande et, et besoin, missionera un expert."
Comment obtenir une attestation d'assurance ?;"pour obtenir une attestation d'assurance, rendez-vous dans la rubrique ""mes contrats"" de votre espace personnel puis cliquez sur la rubrique ""mes documents"""
Comment consulter mon contrat/ mes garanties?;"Pour consulter vos contrats, rendez-vous dans la rubrique ""mes contrats"" de votre espace personnel"
Comment se procurer un constat dégâts des eaux ?;"Pour obtenir un contat dégât des eaux, rendez-vous dans la rubrique ""mes contrats"" de votre espace personnel puis cliquez sur la rubrique ""mes documents"""
 Comment déclarer un vol ?;"Pour déclarer un vol, rendez-vous dans la rubrique ""mes contrats"" de votre espace personnel puis cliquez sur la rubrique ""déclarer un sinistre"",  dans un délai de 2 jours ouvrés à partir de la connaissance du sinistre. Il convient également de nous joindre le récépissé de la plainte. 
"
Comment obtenir une attestation scolaire ?;"pour obtenir une attestation scolaire, rendez-vous dans la rubrique ""mes contrats"" de votre espace personnel puis cliquez sur la rubrique ""mes documents""."
Comment déclarer un dégât des eaux ?;La déclaration d’un dégât des eaux doit obligatoirement être effectuée dans un délai de 5 jours après la constatation de l’incident par courrier recommandé avec accusé de réception. Dans cette lettre vous y décrirez les détails du sinistre en précisant leur origine ( fuite, infiltration) et en fournissant toutes les factures nécessaires. 
Que faire en cas de rejet de prélevement bancaire ?;"En cas de rejet de votre prélèvement, il sera représenté dans les dix jours, sans aucune demande de votre part. Sachez que vous pouvez également rvous connecter à votre espace personnel, rubrique ""mes cotisations"" puis cliquez sur la cotisation à régler."
Comment effectuer une réclamation ?;"Si vous souhaitez formuler une réclamation, Rendez-vous dans la rubrique ""mes contrats"" de votre espace personnel puis cliquez sur la rubrique ""nous contacter"""
Comment obtenir une attestation de responsabilité Civile ?;"Vous pouvez télécharger votre attestation de responsabilité civile  rendez-vous dans la rubrique ""mes contrats"" de votre espace personnel puis cliquez sur la rubrique ""mes documents""."
Comment déclarer un cambriolage ?;"Pour déclarer un cambriolage, rendez-vous dans la rubrique ""mes contrats"" de votre espace personnel puis cliquez sur la rubrique ""déclarer un sinistre"",  dans un délai de 2 jours ouvrés à partir de la connaissance du sinistre. Il convient également de nous joindre le récépissé de la plainte. "
Faut-il payer une franchise pour recevoir l’indemnisation  ?;"Si votre contrat comporte une franchise, celle-ci sera déduite de votre indemnité en cas de sinistre. Reportez-vous dans la rublique ""mes contrats"" de votre espace personnel pour en connaitre le montant. "
Mon employé cause des dégâts à mon voisin, suis-je responsable ?;votre responsabilité peut être recherché suite à des dommages causés par votre employé. Tout dépendra de la situation et de la faute commise. Vous devez procéder à une déclaration de sinistre en passant par votre espace personneL rubrique mes contrats puis cliquez sur déclarer un sinistre. Pensez à communiquer les coordonées de ECA ASSURANCE ainisi que votre numéro de contrat à la victime
"
Comment avoir une attestation d’assurance locative ?";"Pour obtenir votre attestation d'assurance locative, rendez-vous dans la rubrique ""mes contrats"" de votre espace personnel puis cliquez sur la rubrique ""mes documents"". Vous pourrez la télécharger et l'imprimer."
Mon enfant blesse un tiers, suis-je responsable ?;votre responsabilité peut être recherché suite à des dommages causés par vos enfants. Tout dépendra de la situation et de la faute commise. Vous devez procéder à une déclaration de sinistre en passant par votre espace personneL rubrique mes contrats puis cliquez sur déclarer un sinistre. Pensez à communiquer les coordonées de ECA ASSURANCE ainisi que votre numéro de contrat à la victime
Comment déclarer mon sinistre en ligne ?;"Pour déclarer votre sinistre, rendez-vous dans la rubrique ""mes contrats"" de votre espace personnel puis cliquez sur la rubrique « déclarer un sinistre. »"
Comment modifier mes informations personnelle/ bancaires ?;Pour modifier vos données, rendez-vous sur la page d'acceuil de votre espace personnel. 
Comment assurer mes appareils éléctroniques ?;Nous ne proposons pas de garantie spécifique aux appareils electroniques. 
Mes animaux sont-ils couverts ?;votre responsabilité peut être recherché suite à des dommages causés par votre animal. Tout dépendra de la situation et de la faute commise. Vous devez procéder à une déclaration de sinistre en passant par votre espace personneL rubrique mes contrats puis cliquez sur déclarer un sinistre. Pensez à communiquer les coordonées de ECA ASSURANCE ainisi que votre numéro de contrat à la victime
Suis-je couvert si j'annule mes vacances?;Votre contrat Multirisque Habitation ne prévoit pas cette garantie. L'assurance annulation de voyage est un contrat spécifique, généralement souscrit auprès de l'agence de voyages. 
Comment évaluer mon capital mobilier ?;Pour évaluer votre capital mobilier, il faut estimer la valeur totale des biens contenus dans votre logement assuré. Il comprend les meubles, l’électroménager, l’équipement audiovisuel, informatique, mais aussi les vêtements, la décoration, le matériel de loisirs, de bricolage et de jardinage.
Assurez-vous les garages/dépendances ?;Tous les batiments liés à votre habitation sont couvert s'ils sont déclarés au préalable dans votre contrat habitation .
Je suis colocataire, dois-je m'assurer ?;Vous devez obligatoirement disposer d'un contrat habitation avec la garantie risques locatifs au minimum qui permet de couvrir les dommages causés en cas d'incendie, de dégats des eaux ou explosion et ainsi qu'une garantie responsabilité civile.
Dois-je assurer mes espaces extérieures ?;"Nous vous conseillons de souscrire à la garantie du mobilier des biens extérieurs. Rendez vous sur la rubrique ""nous contacter"" de votre espace personnel afin de formuler votre demande"
Comment est calculé mon assurance ?;"Plusieurs facteurs sont pris en compte dans le calcul du prix de votre assurance habitation: "" le situation géographique"", ""vos garanties et leurs etendue "" ainsi que"" la superficie"""
Quelles sont les documents à fournir lors d’une catastrophe naturelle ?;"Vous devez nous déclarer votre sinistre en passant par la rubrique ""mes contrats"" de votre espace personnel puis cliquez sur ""déclarer un sinistre"". Ensuite un expert vous contactera et vous informera de la liste des documents à fournir.
"
Quelles sont les conditions indemnisations lors d’une catastrophe naturelle ?;Pour avoir le droit à une indemnisation, un arrêté interministériel paru au Journal Officiel doit constater l’état de catastrophe naturelle sur votre secteur géographique.
Quel délai pour déclarer son sinistre catastrophe naturelle ?;Vous devez déclarer votre sinistre dans les 10 jours qui suivent la parution de l’arrêté interministériel au Journal Officiel.
Quel est le délai indemnisation pour un dégât des eaux ?;Il n'y a pas de délai si vous passer par un artisan partenaire, puisque vous n'avancez pas les frais. Si vous réalisez les travaux vous-même, le délai est de 5 jours après avoir accepté notre proposition d'indemnité.
Quel est le délai indemnisation pour une catastrophe naturelle ?;Il n'y a pas de délai si vous passer par un artisan partenaire, puisque vous n'avancez pas les frais. Si vous réalisez les travaux vous-même, le délai est de 5 jours après avoir accepté notre proposition d'indemnité.
Mon voisin est responsable d’un dégât des eaux, que dois-je faire ?;"Rendez-vous sur la rubrique ""mes contrats"" de votre espace personnel puis cliquez sur la rubrique ""déclarer un sinistre"". Vous devrez joindre votre constat amiable remplit par chaque partie concernée responsable et victime(s) du dégât des eaux."
Comment obtenir mon attestation de télétravail ?;"Pour obtenir votre attestation de télétravail, rendez vous dans la rubrique ""mes contrats"" de votre espace personnel puis cliquez sur la rubrique ""nous contacter"", formuler votre demande en précisant le nom et prénom du bénéficiaire"
Comment résilier son contrat habitation ?;"Vous pouvez résilier votre contrat à sa prochaine échéance principale. Vous devez en faire la demande par lettre recommandée avec accusé réception en respectant un préavis de deux mois. Vous pouvez retrouver la date d'échéance de votre contrat dans votre espace personnel, rubrique ""mes contrats"""
Comment contacter l’assistance ? ;Vous pouvez joindre notre service d'assistance par téléphone au 01 49 93 73 83 (AREAS) 01 41 85 90 76 (GENERALI)
 Quelle est la procédure d’indemnisation en cas de vol ?                                                                                                                                                                                                                                                                                                                                                                                             ;"Déposez plainte puis déclarer le sinistre en passant par votre espace personnel rubrique mes contrats puis cliquez sur ""déclarer un sinistre"". Nous vous adresserons un formulaire pour lister les biens volés. "
Quelles sont les délais de déclaration en cas de vol ?;Lorsque vous etes victime d'un vol vous disposez d'un délai de 2 jours ouvrés pour déclarer le sinistre à votre assureur par courrier recommandé avec accusé de réception. 
